"",brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
0,BMW,2017,3200000,13663,Diesel,Dealer,Automatic,1,22.690,1995.000,190.000,5.000
1,BMW,2012,900000,155000,Diesel,Individual,Automatic,2,16.070,1995.000,181.000,4.000
2,BMW,2017,2950000,39000,Diesel,Dealer,Automatic,1,19.590,1995.000,187.740,5.000
4,BMW,2009,1100000,60000,Diesel,Individual,Automatic,2,16.070,1995.000,181.000,5.000
5,BMW,2012,1100000,80000,Diesel,Individual,Automatic,2,16.070,1995.000,181.000,5.000
6,BMW,2016,2150000,30000,Diesel,Dealer,Automatic,1,22.690,1995.000,190.000,5.000
7,BMW,2012,1300000,140000,Diesel,Individual,Automatic,2,18.880,1995.000,184.000,5.000
9,BMW,2010,1100000,102000,Diesel,Dealer,Automatic,1,19.620,1995.000,187.740,5.000
11,BMW,2017,2600000,44000,Diesel,Dealer,Automatic,1,22.690,1995.000,190.000,5.000
13,BMW,2013,1300000,140000,Diesel,Individual,Automatic,2,18.880,1995.000,184.000,5.000
15,BMW,2015,1650000,74000,Diesel,Individual,Automatic,1,18.880,1995.000,184.000,5.000
16,BMW,2007,480000,110000,Diesel,Individual,Automatic,4,16.070,1995.000,181.000,5.000
17,BMW,2011,1500000,84925,Diesel,Individual,Automatic,1,16.070,1995.000,181.000,5.000
18,BMW,2016,2950000,60000,Diesel,Dealer,Automatic,1,21.760,1995.000,188.000,5.000
20,BMW,2008,1100000,122000,Diesel,Individual,Automatic,2,18.480,1995.000,177.000,5.000
21,BMW,2016,2900000,12000,Diesel,Dealer,Automatic,1,18.120,1995.000,190.000,5.000
22,BMW,2019,5200000,10000,Diesel,Dealer,Automatic,1,18.120,1995.000,190.000,5.000
23,BMW,2016,3200000,40000,Diesel,Individual,Automatic,1,18.120,1995.000,190.000,5.000
26,BMW,2018,3790000,29500,Diesel,Dealer,Automatic,1,22.480,1995.000,187.740,5.000
27,BMW,2018,3900000,17100,Diesel,Dealer,Automatic,1,22.480,1995.000,187.740,5.000
29,BMW,2018,4000000,10000,Diesel,Dealer,Automatic,1,22.480,1995.000,187.740,5.000
31,BMW,2009,975000,80000,Diesel,Dealer,Automatic,2,22.480,1995.000,187.740,5.000
32,BMW,2010,975000,72200,Petrol,Dealer,Automatic,2,10.800,2497.000,150.000,5.000
